Source,Target,Weight,Type
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_ Guerra_Granada,21,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_epístolas,21,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_fábulas,13,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_octavas,4,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_sátiras,3,undirected
Cervantes_Salazar_cronica_ nueva_españa,lazarillo_tormes,1,undirected
Cervantes_Salazar_cronica_ nueva_españa,Valdés_A_dialogo_cosas_acaecidas_roma,1,undirected
Cervantes_Salazar_cronica_ nueva_españa,Valdés_J_ dialogo_lengua,1,undirected
Hurtado_ cartas,Hurtado_canciones,14,undirected
Hurtado_ cartas,Hurtado_églogas,2,undirected
Hurtado_ cartas,Hurtado_epístolas,32,undirected
Hurtado_ cartas,Hurtado_octavas,3,undirected
Hurtado_ cartas,Hurtado_poesías_satírico_burlescas,6,undirected
Hurtado_ cartas,Hurtado_poesías_varias,37,undirected
Hurtado_ cartas,lazarillo_tormes,11,undirected
Hurtado_ cartas,Valdés_A_dialogo_cosas_acaecidas_roma,1,undirected
Hurtado_ cartas,Valdés_J_ dialogo_lengua,12,undirected
Hurtado_ Guerra_Granada,Cervantes_Salazar_cronica_ nueva_españa,21,undirected
Hurtado_ Guerra_Granada,Hurtado_epístolas,14,undirected
Hurtado_ Guerra_Granada,Hurtado_fábulas,5,undirected
Hurtado_ Guerra_Granada,Hurtado_octavas,2,undirected
Hurtado_canciones,Hurtado_ cartas,14,undirected
Hurtado_canciones,Hurtado_églogas,28,undirected
Hurtado_canciones,Hurtado_elegías,15,undirected
Hurtado_canciones,Hurtado_fábulas,5,undirected
Hurtado_canciones,Hurtado_octavas,40,undirected
Hurtado_canciones,Hurtado_poesías_satírico_burlescas,4,undirected
Hurtado_canciones,Hurtado_poesías_varias,8,undirected
Hurtado_canciones,Hurtado_sátiras,17,undirected
Hurtado_canciones,Hurtado_sonetos,14,undirected
Hurtado_églogas,Hurtado_ cartas,2,undirected
Hurtado_églogas,Hurtado_canciones,28,undirected
Hurtado_églogas,Hurtado_elegías,2,undirected
Hurtado_églogas,Hurtado_fábulas,3,undirected
Hurtado_églogas,Hurtado_octavas,18,undirected
Hurtado_elegías,Hurtado_canciones,15,undirected
Hurtado_elegías,Hurtado_églogas,2,undirected
Hurtado_elegías,Hurtado_fábulas,31,undirected
Hurtado_elegías,Hurtado_octavas,29,undirected
Hurtado_elegías,Hurtado_sonetos,1,undirected
Hurtado_epístolas,Cervantes_Salazar_cronica_ nueva_españa,21,undirected
Hurtado_epístolas,Hurtado_ cartas,32,undirected
Hurtado_epístolas,Hurtado_ Guerra_Granada,14,undirected
Hurtado_epístolas,Hurtado_fábulas,10,undirected
Hurtado_epístolas,Hurtado_octavas,2,undirected
Hurtado_epístolas,Hurtado_poesías_satírico_burlescas,5,undirected
