"Cervantes_Salazar_cronica_ nueva_españa" "Hurtado_ cartas" "Hurtado_ Guerra_Granada" "Hurtado_canciones" "Hurtado_églogas" "Hurtado_elegías" "Hurtado_epístolas" "Hurtado_fábulas" "Hurtado_octavas" "Hurtado_poesías_satírico_burlescas" "Hurtado_poesías_varias" "Hurtado_sátiras" "Hurtado_sonetos" "lazarillo_tormes" "Valdés_A_dialogo_cosas_acaecidas_roma" "Valdés_A_dialogo_mercurio_carón" "Valdés_J_ dialogo_lengua"
"Cervantes_Salazar_cronica_ nueva_españa" 0 2126.39712501613 2354.81427890858 2236.69542305726 2255.08487747438 2257.70876753583 1922.27056998009 2019.05263579089 2167.19631215712 2084.15112562137 2134.26110178354 2073.99790381725 2200.72834561128 2084.20394004695 2404.68307478527 2358.27102130387 2261.84141920054
"Hurtado_ cartas" 2126.39712501613 0 2654.02839558198 1247.33066903718 1323.27850302017 1359.58043867614 1194.81055779142 1291.33637469226 1342.48790909054 1328.65731872812 1197.96467185291 1448.0085390296 1313.69289835839 1966.66712533621 2402.59591127018 2362.99764568742 2174.2778654715
"Hurtado_ Guerra_Granada" 2354.81427890858 2654.02839558198 0 2751.08765603346 2842.45927330931 2769.94856943569 2434.15390040781 2533.30604830984 2677.52471189007 2674.79973613894 2685.28220027818 2685.42313564092 2713.98321502324 2600.58245936788 2876.7598272692 2801.6185253544 2976.89469192846
"Hurtado_canciones" 2236.69542305726 1247.33066903718 2751.08765603346 0 1210.0071703271 1233.16359575711 1328.87507808705 1243.06111866848 1154.23860156343 1359.74573201483 1284.75367672426 1301.85814179928 1229.07039643305 2082.83357854097 2546.80533279217 2548.61268485173 2360.92493388036
"Hurtado_églogas" 2255.08487747438 1323.27850302017 2842.45927330931 1210.0071703271 0 1362.56887530877 1401.48651511815 1339.14139506369 1252.4938230135 1352.76407842091 1362.05606088849 1425.93543108398 1362.43849461218 2128.58331839241 2551.44584608258 2548.09973521174 2358.61139382097
"Hurtado_elegías" 2257.70876753583 1359.58043867614 2769.94856943569 1233.16359575711 1362.56887530877 0 1398.3191022648 1178.10983160481 1185.78178117952 1428.36258453736 1398.52061807118 1440.12761501079 1286.20445344054 2158.56883422913 2636.43745908206 2643.93080471165 2459.15297392591
"Hurtado_epístolas" 1922.27056998009 1194.81055779142 2434.15390040781 1328.87507808705 1401.48651511815 1398.3191022648 0 1265.78384972508 1414.80437461559 1310.29322558049 1259.14896457137 1416.30509993677 1327.26560254631 1827.49666552733 2269.61116179327 2202.29355105246 2102.69156671627
"Hurtado_fábulas" 2019.05263579089 1291.33637469226 2533.30604830984 1243.06111866848 1339.14139506369 1178.10983160481 1265.78384972508 0 1173.26255035834 1332.45465665828 1359.4178103524 1347.56761489617 1238.88180261987 2031.31360252941 2441.27164887938 2471.16829578995 2346.06349912472
"Hurtado_octavas" 2167.19631215712 1342.48790909054 2677.52471189007 1154.23860156343 1252.4938230135 1185.78178117952 1414.80437461559 1173.26255035834 0 1350.3585364626 1353.59526719022 1324.96317195916 1234.91346829372 2111.71553849306 2531.30178413369 2572.90297035673 2350.09878653373
"Hurtado_poesías_satírico_burlescas" 2084.15112562137 1328.65731872812 2674.79973613894 1359.74573201483 1352.76407842091 1428.36258453736 1310.29322558049 1332.45465665828 1350.3585364626 0 1333.72461462776 1392.31861804191 1395.02982458927 1987.44035171647 2451.93993060116 2404.08503375517 2233.45750256352
"Hurtado_poesías_varias" 2134.26110178354 1197.96467185291 2685.28220027818 1284.75367672426 1362.05606088849 1398.52061807118 1259.14896457137 1359.4178103524 1353.59526719022 1333.72461462776 0 1472.23799969105 1309.85018977427 1982.10324483661 2421.10083322227 2402.66118803313 2244.15539823442
"Hurtado_sátiras" 2073.99790381725 1448.0085390296 2685.42313564092 1301.85814179928 1425.93543108398 1440.12761501079 1416.30509993677 1347.56761489617 1324.96317195916 1392.31861804191 1472.23799969105 0 1365.25321486869 2107.81339576196 2447.42293578747 2509.46560861843 2298.25358390869
"Hurtado_sonetos" 2200.72834561128 1313.69289835839 2713.98321502324 1229.07039643305 1362.43849461218 1286.20445344054 1327.26560254631 1238.88180261987 1234.91346829372 1395.02982458927 1309.85018977427 1365.25321486869 0 2082.71523445754 2515.46085665992 2512.32843044027 2370.22619671981
"lazarillo_tormes" 2084.20394004695 1966.66712533621 2600.58245936788 2082.83357854097 2128.58331839241 2158.56883422913 1827.49666552733 2031.31360252941 2111.71553849306 1987.44035171647 1982.10324483661 2107.81339576196 2082.71523445754 0 2411.64183021078 2209.82913670423 2314.17005917539
"Valdés_A_dialogo_cosas_acaecidas_roma" 2404.68307478527 2402.59591127018 2876.7598272692 2546.80533279217 2551.44584608258 2636.43745908206 2269.61116179327 2441.27164887938 2531.30178413369 2451.93993060116 2421.10083322227 2447.42293578747 2515.46085665992 2411.64183021078 0 1987.49899235861 2435.35828006786
"Valdés_A_dialogo_mercurio_carón" 2358.27102130387 2362.99764568742 2801.6185253544 2548.61268485173 2548.09973521174 2643.93080471165 2202.29355105246 2471.16829578995 2572.90297035673 2404.08503375517 2402.66118803313 2509.46560861843 2512.32843044027 2209.82913670423 1987.49899235861 0 2456.93690468534
"Valdés_J_ dialogo_lengua" 2261.84141920054 2174.2778654715 2976.89469192846 2360.92493388036 2358.61139382097 2459.15297392591 2102.69156671627 2346.06349912472 2350.09878653373 2233.45750256352 2244.15539823442 2298.25358390869 2370.22619671981 2314.17005917539 2435.35828006786 2456.93690468534 0
