Source,Target,Weight,Type
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_ Guerra_Granada,93,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_epístolas,93,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_fábulas,53,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_sátiras,8,undirected
Cervantes_Salazar_cronica_ nueva_españa,lazarillo_tormes,32,undirected
Cervantes_Salazar_cronica_ nueva_españa,Valdés_A_dialogo_cosas_acaecidas_roma,24,undirected
Cervantes_Salazar_cronica_ nueva_españa,Valdés_J_ dialogo_lengua,13,undirected
Hurtado_ cartas,Hurtado_canciones,54,undirected
Hurtado_ cartas,Hurtado_églogas,46,undirected
Hurtado_ cartas,Hurtado_epístolas,185,undirected
Hurtado_ cartas,Hurtado_poesías_satírico_burlescas,56,undirected
Hurtado_ cartas,Hurtado_poesías_varias,156,undirected
Hurtado_ cartas,Hurtado_sonetos,4,undirected
Hurtado_ cartas,lazarillo_tormes,62,undirected
Hurtado_ cartas,Valdés_A_dialogo_cosas_acaecidas_roma,6,undirected
Hurtado_ cartas,Valdés_J_ dialogo_lengua,62,undirected
Hurtado_ Guerra_Granada,Cervantes_Salazar_cronica_ nueva_españa,93,undirected
Hurtado_ Guerra_Granada,Hurtado_epístolas,62,undirected
Hurtado_ Guerra_Granada,Hurtado_fábulas,31,undirected
Hurtado_canciones,Hurtado_ cartas,54,undirected
Hurtado_canciones,Hurtado_églogas,160,undirected
Hurtado_canciones,Hurtado_elegías,46,undirected
Hurtado_canciones,Hurtado_fábulas,2,undirected
Hurtado_canciones,Hurtado_octavas,154,undirected
Hurtado_canciones,Hurtado_poesías_varias,24,undirected
Hurtado_canciones,Hurtado_sátiras,93,undirected
Hurtado_canciones,Hurtado_sonetos,121,undirected
Hurtado_églogas,Hurtado_ cartas,46,undirected
Hurtado_églogas,Hurtado_canciones,160,undirected
Hurtado_églogas,Hurtado_epístolas,4,undirected
Hurtado_églogas,Hurtado_octavas,37,undirected
Hurtado_églogas,Hurtado_poesías_satírico_burlescas,6,undirected
Hurtado_elegías,Hurtado_canciones,46,undirected
Hurtado_elegías,Hurtado_fábulas,172,undirected
Hurtado_elegías,Hurtado_octavas,80,undirected
Hurtado_elegías,Hurtado_sonetos,5,undirected
Hurtado_epístolas,Cervantes_Salazar_cronica_ nueva_españa,93,undirected
Hurtado_epístolas,Hurtado_ cartas,185,undirected
Hurtado_epístolas,Hurtado_ Guerra_Granada,62,undirected
Hurtado_epístolas,Hurtado_églogas,4,undirected
Hurtado_epístolas,Hurtado_fábulas,67,undirected
Hurtado_epístolas,Hurtado_poesías_satírico_burlescas,93,undirected
Hurtado_epístolas,Hurtado_poesías_varias,124,undirected
Hurtado_epístolas,Hurtado_sátiras,15,undirected
Hurtado_epístolas,Hurtado_sonetos,13,undirected
Hurtado_epístolas,lazarillo_tormes,93,undirected
Hurtado_epístolas,Valdés_A_dialogo_cosas_acaecidas_roma,62,undirected
Hurtado_epístolas,Valdés_A_dialogo_mercurio_carón,40,undirected
Hurtado_epístolas,Valdés_J_ dialogo_lengua,93,undirected
Hurtado_fábulas,Cervantes_Salazar_cronica_ nueva_españa,53,undirected
Hurtado_fábulas,Hurtado_ Guerra_Granada,31,undirected
Hurtado_fábulas,Hurtado_canciones,2,undirected
Hurtado_fábulas,Hurtado_elegías,172,undirected
Hurtado_fábulas,Hurtado_epístolas,67,undirected
Hurtado_fábulas,Hurtado_octavas,103,undirected
Hurtado_fábulas,Hurtado_poesías_satírico_burlescas,9,undirected
Hurtado_fábulas,Hurtado_sátiras,45,undirected
Hurtado_fábulas,Hurtado_sonetos,77,undirected
Hurtado_octavas,Hurtado_canciones,154,undirected
Hurtado_octavas,Hurtado_églogas,37,undirected
Hurtado_octavas,Hurtado_elegías,80,undirected
Hurtado_octavas,Hurtado_fábulas,103,undirected
Hurtado_octavas,Hurtado_poesías_satírico_burlescas,3,undirected
Hurtado_octavas,Hurtado_sátiras,23,undirected
Hurtado_octavas,Hurtado_sonetos,27,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_ cartas,56,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_églogas,6,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_epístolas,93,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_fábulas,9,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_octavas,3,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_poesías_varias,32,undirected
Hurtado_poesías_satírico_burlescas,Valdés_J_ dialogo_lengua,18,undirected
Hurtado_poesías_varias,Hurtado_ cartas,156,undirected
Hurtado_poesías_varias,Hurtado_canciones,24,undirected
Hurtado_poesías_varias,Hurtado_epístolas,124,undirected
Hurtado_poesías_varias,Hurtado_poesías_satírico_burlescas,32,undirected
Hurtado_poesías_varias,lazarillo_tormes,31,undirected
Hurtado_sátiras,Cervantes_Salazar_cronica_ nueva_españa,8,undirected
Hurtado_sátiras,Hurtado_canciones,93,undirected
Hurtado_sátiras,Hurtado_epístolas,15,undirected
Hurtado_sátiras,Hurtado_fábulas,45,undirected
Hurtado_sátiras,Hurtado_octavas,23,undirected
Hurtado_sátiras,Hurtado_sonetos,10,undirected
Hurtado_sonetos,Hurtado_ cartas,4,undirected
Hurtado_sonetos,Hurtado_canciones,121,undirected
Hurtado_sonetos,Hurtado_elegías,5,undirected
Hurtado_sonetos,Hurtado_epístolas,13,undirected
Hurtado_sonetos,Hurtado_fábulas,77,undirected
Hurtado_sonetos,Hurtado_octavas,27,undirected
Hurtado_sonetos,Hurtado_sátiras,10,undirected
lazarillo_tormes,Cervantes_Salazar_cronica_ nueva_españa,32,undirected
lazarillo_tormes,Hurtado_ cartas,62,undirected
lazarillo_tormes,Hurtado_epístolas,93,undirected
lazarillo_tormes,Hurtado_poesías_varias,31,undirected
lazarillo_tormes,Valdés_A_dialogo_mercurio_carón,53,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Cervantes_Salazar_cronica_ nueva_españa,24,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Hurtado_ cartas,6,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Hurtado_epístolas,62,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Valdés_A_dialogo_mercurio_carón,186,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Valdés_J_ dialogo_lengua,1,undirected
Valdés_A_dialogo_mercurio_carón,Hurtado_epístolas,40,undirected
Valdés_A_dialogo_mercurio_carón,lazarillo_tormes,53,undirected
Valdés_A_dialogo_mercurio_carón,Valdés_A_dialogo_cosas_acaecidas_roma,186,undirected
Valdés_J_ dialogo_lengua,Cervantes_Salazar_cronica_ nueva_españa,13,undirected
Valdés_J_ dialogo_lengua,Hurtado_ cartas,62,undirected
Valdés_J_ dialogo_lengua,Hurtado_epístolas,93,undirected
Valdés_J_ dialogo_lengua,Hurtado_poesías_satírico_burlescas,18,undirected
Valdés_J_ dialogo_lengua,Valdés_A_dialogo_cosas_acaecidas_roma,1,undirected
